title,release,metascore,userscore
84,Everybody Loves Raymond: Season 1,"September 13, 1996",74,Everybody Loves Raymond: Season 1
85,Awkward: Season 1,"July 19, 2011",74,Awkward: Season 1
86,Enlightened: Season 1,"October 10, 2011",74,Enlightened: Season 1
87,The Alzheimer's Project: Season 1,"May 10, 2009",75,The Alzheimer's Project: Season 1
88,Frayed: Season 1,"September 26, 2019",75,Frayed: Season 1
89,Transparent: Season 4,"September 22, 2017",74,Transparent: Season 4
90,Bloodline: Season 1,"March 20, 2015",75,Bloodline: Season 1
91,Angel: Season 1,"October 5, 1999",75,Angel: Season 1
92,Luck: Season 1,"December 11, 2011",75,Luck: Season 1
93,Godless: Season 1,"November 22, 2017",75,Godless: Season 1
94,Brotherhood: Season 1,"July 9, 2006",75,Brotherhood: Season 1
95,The Good Wife: Season 1,"September 22, 2009",75,The Good Wife: Season 1
96,Corporate: Season 1,"January 17, 2018",75,Corporate: Season 1
97,Vida: Season 1,"May 6, 2018",75,Vida: Season 1
98,Dracula (2020): Season 1,"January 4, 2020",75,Dracula (2020): Season 1
99,Dr. Death: Season 1,"July 15, 2021",75,Dr. Death: Season 1
100,Harlots: Season 1,"March 29, 2017",74,Harlots: Season 1
101,The Electric Company: Season 1,"January 19, 2009",74,The Electric Company: Season 1
102,Storm of the Century,"February 14, 1999",74,Storm of the Century
103,Carrier: Season 1,"April 27, 2008",74,Carrier: Season 1
104,Nip/Tuck: Season 2,"June 22, 2004",74,Nip/Tuck: Season 2
105,Loki: Season 1,"June 9, 2021",74,Loki: Season 1
106,Garfunkel & Oates: Season 1,"August 7, 2014",73,Garfunkel & Oates: Season 1
107,Acapulco (2021): Season 1,"October 8, 2021",74,Acapulco (2021): Season 1
108,Terminator: The Sarah Connor Chronicles: Season 1,"January 13, 2008",74,Terminator: The Sarah Connor Chronicles: Season 1
109,The Act: Season 1,"March 20, 2019",73,The Act: Season 1
110,Elementary: Season 1,"September 27, 2012",73,Elementary: Season 1
111,Heels: Season 1,"August 15, 2021",73,Heels: Season 1
112,Shangri-La (2019),"July 12, 2019",73,Shangri-La (2019)
113,Chilling Adventures of Sabrina: Season 1,"October 26, 2018",74,Chilling Adventures of Sabrina: Season 1
114,Hap and Leonard: Season 1,"March 2, 2016",73,Hap and Leonard: Season 1
115,About Face: Supermodels Then and Now: Season 1,"July 30, 2012",73,About Face: Supermodels Then and Now: Season 1
116,"Andy Barker, P.I.: Season 1","March 15, 2007",73,"Andy Barker, P.I.: Season 1"
117,Game Change,"March 10, 2012",74,Game Change
118,World On Fire: Season 1,"September 29, 2019",74,World On Fire: Season 1
119,I Love Dick: Season 1,"May 12, 2017",73,I Love Dick: Season 1
120,Sinatra: All or Nothing at All: Season 1,"April 5, 2015",74,Sinatra: All or Nothing at All: Season 1
121,Twin Peaks: Season 3,"May 21, 2017",74,Twin Peaks: Season 3
122,The Chair (2021): Season 1,"August 20, 2021",73,The Chair (2021): Season 1
123,Murder Among the Mormons: Season 1,"March 3, 2021",73,Murder Among the Mormons: Season 1
124,Episodes (US): Season 1,"January 9, 2011",74,Episodes (US): Season 1
125,The Big Leap: Season 1,"September 20, 2021",73,The Big Leap: Season 1
126,Togetherness: Season 2,"February 21, 2016",73,Togetherness: Season 2
127,Looking: Season 1,"January 19, 2014",73,Looking: Season 1
128,"Upstairs, Downstairs: Season 1","December 26, 2010",74,"Upstairs, Downstairs: Season 1"
129,YOU: Season 2,"December 26, 2019",74,YOU: Season 2
130,Arrow: Season 1,"October 10, 2012",73,Arrow: Season 1
131,The Inbetweeners (UK): Season 1,"May 1, 2008",73,The Inbetweeners (UK): Season 1
132,Cucumber: Season 1,"January 22, 2015",73,Cucumber: Season 1
133,True Blood: Season 4,"June 26, 2011",74,True Blood: Season 4
134,Schmigadoon!: Season 1,"July 16, 2021",73,Schmigadoon!: Season 1
135,The Boys: Season 1,"July 26, 2019",74,The Boys: Season 1
136,Jerry Before Seinfeld,"September 19, 2017",74,Jerry Before Seinfeld
137,Phoenix Rising,"March 15, 2022",74,Phoenix Rising
138,Sons of Anarchy: Season 6,"September 10, 2013",74,Sons of Anarchy: Season 6
139,YOU: Season 1,"September 9, 2018",74,YOU: Season 1
140,Queer Eye (2018): Season 1,"February 7, 2018",73,Queer Eye (2018): Season 1
141,The Beast Must Die: Season 1,"July 5, 2021",73,The Beast Must Die: Season 1
142,Wishful Drinking,"December 12, 2010",74,Wishful Drinking
143,The Writers' Room: Season 1,"July 29, 2013",73,The Writers' Room: Season 1
144,Traffic,"January 26, 2004",74,Traffic
145,Curb Your Enthusiasm: Season 9,"October 1, 2017",74,Curb Your Enthusiasm: Season 9
146,Arli$$: Season 1,"August 10, 1996",74,Arli$$: Season 1
147,Euphoria: Season 2,"January 9, 2022",74,Euphoria: Season 2
148,The Assassination of Gianni Versace: American Crime Story: Season 1,"January 17, 2018",74,The Assassination of Gianni Versace: American Crime Story: Season 1
149,Cinema Verite,"April 23, 2011",74,Cinema Verite
150,30 Rock: Season 4,"October 15, 2009",73,30 Rock: Season 4
151,The Flash (2014): Season 1,"October 7, 2014",73,The Flash (2014): Season 1
152,Last Resort: Season 1,"September 27, 2012",74,Last Resort: Season 1
153,Starstruck (2021): Season 2,"March 24, 2022",74,Starstruck (2021): Season 2
154,The Middleman: Season 1,"June 16, 2008",73,The Middleman: Season 1
