,title,release,metascore
926,Loki: Season 1,"June 9, 2021",74
927,True Blood: Season 2,"June 14, 2009",74
928,Shrill: Season 1,"March 15, 2019",74
929,Jerry Before Seinfeld,"September 19, 2017",74
930,Curb Your Enthusiasm: Season 9,"October 1, 2017",74
931,Terminator: The Sarah Connor Chronicles: Season 1,"January 13, 2008",74
932,Chilling Adventures of Sabrina: Season 1,"October 26, 2018",74
933,Harlots: Season 1,"March 29, 2017",74
934,Sons of Anarchy: Season 6,"September 10, 2013",74
935,Nip/Tuck: Season 2,"June 22, 2004",74
936,Bunheads: Season 1,"June 11, 2012",74
937,Episodes (US): Season 1,"January 9, 2011",74
938,The North Water: Season 1,"July 15, 2021",74
939,Jerry Seinfeld: 23 Hours to Kill,"May 5, 2020",74
940,Arli$$: Season 1,"August 10, 1996",74
941,The Fourth Estate: Season 1,"May 27, 2018",74
942,Westworld: Season 1,"October 2, 2016",74
943,Starstruck (2021): Season 2,"March 24, 2022",74
944,Cinema Verite,"April 23, 2011",74
945,Storm of the Century,"February 14, 1999",74
946,Game Change,"March 10, 2012",74
947,The Big C: Season 4,"April 29, 2013",74
948,Euphoria: Season 2,"January 9, 2022",74
949,Humans: Season 1,"June 28, 2015",73
950,Elementary: Season 1,"September 27, 2012",73
951,Life On Mars: Season 1,"October 9, 2008",73
952,Breaking Bad: Season 1,"January 20, 2008",73
953,Game of Thrones: Season 6,"April 24, 2016",73
954,I Love Dick: Season 1,"May 12, 2017",73
955,The Big Leap: Season 1,"September 20, 2021",73
956,Dirty John: Season 2,"June 2, 2020",73
957,Mosaic: Season 1,"January 22, 2018",73
958,Hap and Leonard: Season 1,"March 2, 2016",73
959,Torchwood (UK): Season 1,"October 22, 2006",73
960,Murder Among the Mormons: Season 1,"March 3, 2021",73
961,Murder One: Season 2,"October 10, 1996",73
962,Invincible (2021): Season 1,"March 26, 2021",73
963,Crashing: Season 1,"February 19, 2017",73
964,Schmigadoon!: Season 1,"July 16, 2021",73
965,"Andy Barker, P.I.: Season 1","March 15, 2007",73
966,Thirteen: Season 1,"June 23, 2016",73
967,30 Rock: Season 4,"October 15, 2009",73
968,The Beat: Season 1,"March 28, 2000",73
969,Dare Me: Season 1,"December 29, 2019",73
970,The Flash (2014): Season 1,"October 7, 2014",73
971,The Act: Season 1,"March 20, 2019",73
972,Togetherness: Season 2,"February 21, 2016",73
973,Mythic Quest: Season 2,"May 7, 2021",73
974,Queer Eye (2018): Season 1,"February 7, 2018",73
975,Broadchurch: Season 2,"March 4, 2015",73
976,Arthur & George: Season 1,"September 6, 2015",73
977,Heels: Season 1,"August 15, 2021",73
978,About Face: Supermodels Then and Now: Season 1,"July 30, 2012",73
979,Looking: Season 1,"January 19, 2014",73
980,The Glee Project: Season 1,"June 12, 2011",73
981,Arrow: Season 1,"October 10, 2012",73
982,Orphan Black: Season 1,"March 30, 2013",73
983,Parade's End: Season 1,"August 24, 2012",73
984,The Drowning: Season 1,"May 6, 2021",73
985,A Suitable Boy,"December 7, 2020",73
986,Garfunkel & Oates: Season 1,"August 7, 2014",73
987,The Writers' Room: Season 1,"July 29, 2013",73
988,Mozart in the Jungle: Season 1,"December 23, 2014",73
989,The Chi: Season 1,"January 7, 2018",73
990,The Chair (2021): Season 1,"August 20, 2021",73
991,The Beast Must Die: Season 1,"July 5, 2021",73
992,Shangri-La (2019),"July 12, 2019",73
993,Cucumber: Season 1,"January 22, 2015",73
994,Thorne: Season 1,"October 10, 2010",73
995,The Inbetweeners (UK): Season 1,"May 1, 2008",73
996,Battle Creek: Season 1,"March 1, 2015",73
997,London Spy: Season 1,"January 21, 2016",73
998,The Bletchley Circle: Season 1,"September 6, 2012",73
999,The Middleman: Season 1,"June 16, 2008",73
1000,Sleeper Cell: Season 2,"December 10, 2006",73
1001,Top Of The Lake: Season 2,"July 27, 2017",73
1002,Demi Lovato: Dancing with the Devil: Season 1,"March 23, 2021",73
1003,Ray Donovan: Season 2,"July 13, 2014",73
1004,Sense8: Season 2,"December 23, 2016",73
1005,The Wiz Live!,"December 3, 2015",73
1006,Brexit,"January 19, 2019",73
1007,Expecting Amy,"July 9, 2020",73
1008,Outlander (2014): Season 1,"August 9, 2014",73
1009,Shrek The Halls,"November 28, 2007",73
1010,Will & Grace (2017): Season 1,"September 28, 2017",73
1011,Archive 81: Season 1,"January 14, 2022",73
1012,Stumptown: Season 1,"September 25, 2019",73
1013,The Last Panthers: Season 1,"November 12, 2015",73
1014,Masters of Horror: Season 1,"October 28, 2005",73
1015,Ally McBeal: Season 1,"September 8, 1997",73
1016,Mythic Quest: Season 1,"February 7, 2020",73
1017,Deadwater Fell: Season 1,"January 10, 2020",73
1018,Getting On (2013): Season 1,"November 24, 2013",73
1019,Halt and Catch Fire: Season 2,"May 31, 2015",73
1020,Girls: Season 5,"February 21, 2016",73
1021,Jonathan Strange & Mr. Norrell: Season 1,"May 17, 2015",73
1022,Primeval: Season 1,"February 10, 2007",73
1023,Lone Star: Season 1,"September 20, 2010",73
1024,Entourage: Season 3,"June 11, 2006",73
1025,China Beach: Season 1,"April 26, 1988",73
1026,The Capture: Season 1,"September 3, 2019",72
1027,Hit and Miss: Season 1,"May 22, 2012",72
1028,The Affair: Season 3,"November 20, 2016",72
1029,Masters of Sex: Season 3,"July 12, 2015",72
1030,I'll Fly Away: Season 1,"October 7, 1991",72
1031,The Tick (2017): Season 1,"August 25, 2017",72
1032,Downton Abbey: Season 4,"September 22, 2013",72
1033,The Amazing Race: Season 1,"September 5, 2001",72
1034,Yasuke: Season 1,"April 29, 2021",72
1035,Eli Stone: Season 2,"October 14, 2008",72
1036,Veep: Season 1,"April 22, 2013",72
1037,Marvel's Agent Carter: Season 1,"January 6, 2015",72
1038,Welcome to Sweden: Season 1,"July 10, 2014",72
1039,Star Trek: Discovery: Season 1,"September 24, 2017",72
1040,Obama: In Pursuit of a More Perfect Union: Season 1,"August 3, 2021",72
1041,Seduced and Abandoned,"October 28, 2013",72
1042,Ghosts (2021): Season 1,"October 7, 2021",72
1043,24: Season 3,"October 28, 2003",72
1044,High School Musical 2,"August 17, 2007",72
1045,The Afterparty: Season 1,"January 28, 2022",72
1046,Aziz Ansari: Right Now,"July 9, 2019",72
1047,Confirmation,"April 16, 2016",72
1048,Ripper Street: Season 1,"December 30, 2012",72
1049,The Last Man on Earth: Season 1,"March 1, 2015",72
1050,Jericho: Season 2,"February 12, 2008",72
1051,Star Trek: Discovery: Season 2,"January 17, 2019",72
1052,Black Mirror: Season 4,"December 29, 2017",72
1053,Quarry: Season 1,"September 9, 2016",72
1054,The Divide: Season 1,"July 16, 2014",72
1055,Stateless: Season 1,"July 8, 2020",72
1056,Archer: Season 8,"April 5, 2017",72
1057,Bobby Kennedy for President,"April 27, 2018",72
1058,Futurama: Season 1,"March 28, 1999",72
1059,Stranger Things: Season 3,"July 4, 2019",72
1060,The Mayor: Season 1,"October 3, 2017",72
1061,War & Peace,"January 18, 2016",72
1062,Hindsight: Season 1,"January 7, 2015",72
1063,People of Earth: Season 1,"October 31, 2016",72
1064,Looking for Alaska: Season 1,"October 18, 2019",72
1065,Night Stalker: The Hunt for a Serial Killer,"January 13, 2021",72
1066,Teenage Bounty Hunters: Season 1,"August 14, 2020",72
1067,24: Season 7,"January 11, 2009",72
1068,Mad About You: Season 1,"September 23, 1992",72
1069,PRIDE,"May 14, 2021",72
1070,Arrested Development: Season 4,"May 26, 2013",72
1071,Under the Dome: Season 1,"June 24, 2013",72
1072,The Strain: Season 1,"July 13, 2014",72
1073,Teach: Tony Danza: Season 1,"October 1, 2010",72
1074,Tiger,"January 10, 2021",72
1075,Big Love: Season 1,"March 12, 2006",72
1076,Spielberg,"October 7, 2017",72
1077,Cobra Kai: Season 1,"May 2, 2018",72
1078,Love (2016): Season 1,"February 19, 2016",72
1079,In Treatment: Season 4,"May 23, 2021",72
1080,Lois & Clark: The New Adventures of Superman: Season 1,"September 12, 1993",72
1081,Wellington Paranormal: Season 1,"July 11, 2021",72
1082,Masters of the Universe: Revelation: Season 1,"July 23, 2021",72
1083,Twenties: Season 1,"March 4, 2020",72
1084,American Horror Story: Season 6,"September 14, 2016",72
1085,The Boondocks: Season 1,"November 6, 2005",72
1086,Invasion: Season 1,"September 21, 2005",72
1087,True Detective: Season 3,"January 13, 2019",72
1088,Kingdom (2014): Season 1,"October 8, 2014",72
1089,Cobra Kai: Season 3,"January 1, 2021",72
1090,Filth: The Mary Whitehouse Story,"May 28, 2008",72
1091,Dead to Me: Season 2,"May 8, 2020",72
1092,Warehouse 13: Season 2,"July 6, 2010",72
1093,Solar Opposites: Season 1,"May 8, 2020",72
1094,Oliver Twist : Season 1,"December 18, 2007",72
1095,Easy: Season 1,"September 22, 2016",72
1096,Poldark: Season 1,"June 21, 2015",72
1097,Catch and Kill: The Podcast Tapes: Season 1,"July 12, 2021",72
1098,The Sex Lives of College Girls: Season 1,"November 18, 2021",72
1099,Bad Vegan: Fame. Fraud. Fugitives.: Season 1,"March 16, 2022",72
1100,Godfather of Harlem: Season 1,"September 29, 2019",72
1101,Spy City: Season 1,"April 15, 2021",72
1102,The Mighty Ducks: Game Changers: Season 1,"March 26, 2021",72
1103,Late Show with Stephen Colbert: Season 1,"September 8, 2015",72
1104,The Not Too Late Show with Elmo: Season 1,"May 27, 2020",72
1105,Mrs. Fletcher: Season 1,"October 27, 2019",72
1106,Naomi: Season 1,"January 11, 2022",72
1107,Life (2007): Season 2,"September 29, 2008",72
1108,McMillions: Season 1,"February 3, 2020",71
1109,Rome: Season 1,"August 28, 2005",71
1110,Almost Royal: Season 1,"June 21, 2014",71
1111,Homeland: Season 8,"February 9, 2020",71
1112,Spin City: Season 1,"September 17, 1996",71
1113,The Young Indiana Jones Chronicles: Season 1,"March 4, 1992",71
1114,To Walk Invisible: The Brontë Sisters,"March 26, 2017",71
1115,Our Nixon,"August 1, 2013",71
1116,Inside Men: Season 1,"February 2, 2012",71
1117,Parks and Recreation: Season 2,"September 17, 2009",71
1118,The Kids Are Alright: Season 1,"October 16, 2018",71
1119,The Real World: Season 4,"June 28, 1995",71
1120,Bosch: Season 1,"February 7, 2014",71
1121,FlashForward: Season 1,"September 24, 2009",71
1122,Thief: Season 1,"March 28, 2006",71
1123,Dr. Brain: Season 1,"November 3, 2021",71
1124,The Escape Artist: Season 1,"October 29, 2013",71
1125,Chuck: Season 3,"January 10, 2010",71
1126,Tour de Pharmacy,"July 8, 2017",71
1127,The No. 1 Ladies' Detective Agency: Season 1,"March 29, 2009",71
1128,Ordeal By Innocence: Season 1,"April 1, 2018",71
1129,Ray Donovan: Season 3,"July 12, 2015",71
1130,Designated Survivor: Season 1,"September 21, 2016",71
1131,Get Shorty: Season 1,"August 13, 2017",71
1132,Manhunt (2017): Season 1,"August 1, 2017",71
1133,Mr. Mercedes: Season 1,"August 9, 2017",71
1134,Portlandia: Season 1,"January 21, 2011",71
1135,America in Color: Season 1,"July 2, 2017",71
1136,Devs: Season 1,"March 5, 2020",71
1137,The Starter Wife: Season 1,"May 31, 2007",71
1138,Murphy Brown: Season 1,"November 14, 1988",71
1139,Women of the Movement: Season 1,"January 6, 2022",71
1140,Important Things with Demetri Martin: Season 1,"February 11, 2009",71
1141,Hustle: Season 1,"January 14, 2006",71
1142,The House: Season 1,"January 14, 2022",71
1143,The Grinder: Season 1,"September 29, 2015",71
1144,"Murder, She Wrote: Season 1","September 30, 1984",71
1145,Gotham: Season 1,"September 22, 2014",71
1146,Human Target: Season 2,"November 17, 2010",71
1147,The White Princess: Season 1,"April 16, 2017",71
1148,Downward Dog: Season 1,"May 17, 2017",71
1149,Caprica: Season 1,"January 22, 2010",71
1150,Marvel's M.O.D.O.K.: Season 1,"May 21, 2021",71
1151,Shrill: Season 2,"January 24, 2020",71
1152,American Horror Story: Season 3,"October 9, 2013",71
1153,grown-ish: Season 1,"January 3, 2018",71
1154,Saved by the Bell (2020): Season 1,"November 25, 2020",71
1155,The Great British Baking Show: Season 9,"September 25, 2020",71
1156,The Comeback: Season 2,"November 9, 2014",71
1157,Wallander: Season 1,"November 30, 2008",71
1158,Our Flag Means Death: Season 1,"March 3, 2022",71
1159,Stanley Tucci: Searching for Italy: Season 1,"February 14, 2021",71
1160,Looney Tunes Cartoons: Season 1,"May 27, 2020",71
1161,Colin in Black & White: Season 1,"October 29, 2021",71
1162,Son of the Beach: Season 1,"March 14, 2000",71
1163,The Sinner: Season 1,"August 2, 2017",71
1164,Don't Trust the B---- in Apartment 23: Season 1,"April 11, 2012",71
1165,Running with Beto,"May 28, 2019",71
1166,Faking It (2014): Season 1,"April 22, 2014",71
1167,Vikings: Season 1,"March 3, 2013",71
1168,"You, Me and the Apocalypse: Season 1","September 30, 2015",71
1169,Vinyl: Season 1,"February 14, 2016",71
1170,Looking: The Movie,"July 23, 2016",71
1171,Maron: Season 1,"May 3, 2013",71
1172,Review: Season 1,"March 6, 2014",71
1173,Suburgatory: Season 1,"September 28, 2011",71
1174,Nightmares & Dreamscapes: From the Stories of Stephen King: Season 1,"July 12, 2006",71
1175,Finding Carter: Season 1,"July 8, 2014",71
1176,jeen-yuhs: A Kanye Trilogy: Season 1,"February 16, 2022",71
1177,Sanditon: Season 1,"August 25, 2019",71
