,title,release,metascore
1324,Betas: Season 1,"April 19, 2013",69
1325,Amanda Knox: Murder on Trial in Italy: Season 1,"February 21, 2011",69
1326,Burn Notice: Season 1,"June 28, 2007",69
1327,The Detour: Season 1,"April 11, 2016",69
1328,Burden of Truth: Season 1,"January 10, 2018",69
1329,The Get Down: Season 1,"August 12, 2016",69
1330,Gossip Girl: Season 2,"September 1, 2008",69
1331,"Love, Victor: Season 1","June 17, 2020",69
1332,Pitch: Season 1,"September 22, 2016",69
1333,11.22.63: Season 1,"February 15, 2016",69
1334,Jim Henson's Creature Shop Challenge: Season 1,"March 25, 2014",69
1335,The Witcher: Season 2,"December 17, 2021",69
1336,The Nightly Show with Larry Wilmore: Season 1,"January 19, 2015",69
1337,CSI: Miami: Season 1,"September 23, 2002",69
1338,The Killing: Season 2,"April 1, 2012",68
1339,Patriot: Season 1,"November 3, 2015",68
1340,Dopesick,"October 13, 2021",68
1341,"Big Time in Hollywood, FL: Season 1","March 25, 2015",68
1342,La Femme Nikita: Season 1,"January 13, 1997",68
1343,Bette: Season 1,"October 11, 2000",68
1344,Leverage: Season 1,"December 7, 2008",68
1345,Becoming Us: Season 1,"June 8, 2015",68
1346,Reacher: Season 1,"February 4, 2022",68
1347,Entourage: Season 1,"July 18, 2004",68
1348,Fargo: Season 4,"September 27, 2020",68
1349,The Nine Lives of Chloe King: Season 1,"June 14, 2011",68
1350,The Outsider (2020): Season 1,"January 12, 2020",68
1351,Greenleaf: Season 1,"June 21, 2016",68
1352,Shadow and Bone: Season 1,"April 23, 2021",68
1353,George W. Bush: The 9/11 Interview,"August 28, 2011",68
1354,Kidnapped: Season 1,"September 20, 2006",68
1355,The 4400: Season 1,"July 11, 2004",68
1356,Homeland: Season 6,"January 15, 2017",68
1357,Big Love: Season 4,"January 10, 2010",68
1358,Sons of Anarchy: Season 1,"September 3, 2008",68
1359,Kidding: Season 1,"September 9, 2018",68
1360,Dave Chappelle: Deep in the Heart of Texas,"March 21, 2017",68
1361,Winning Time: The Rise of the Lakers Dynasty: Season 1,"March 6, 2022",68
1362,Hatfields & McCoys,"May 28, 2012",68
1363,The Tudors: Season 2,"March 30, 2008",68
1364,Felicity: An American Girl Adventure,"November 29, 2005",68
1365,Grand Army: Season 1,"October 16, 2020",68
1366,My Dinner with Herve,"October 20, 2018",68
1367,Made For Love: Season 1,"April 1, 2021",68
1368,Baskets: Season 1,"January 21, 2016",68
1369,American Dreams: Season 1,"September 29, 2002",68
1370,Ethel: Season 1,"October 18, 2012",68
1371,Law & Order: Special Victims Unit: Season 1,"September 20, 1999",68
1372,Another Period: Season 1,"June 23, 2015",68
1373,Grey's Anatomy: Season 5,"September 25, 2008",68
1374,Tales From the Loop: Season 1,"April 3, 2020",68
1375,Seven Seconds: Season 1,"February 23, 2018",68
1376,The Gilded Age: Season 1,"January 24, 2022",68
1377,Muppets Now: Season 1,"July 31, 2020",68
1378,I Just Want My Pants Back: Season 1,"August 28, 2011",68
1379,Perry Mason (2020): Season 1,"June 21, 2020",68
1380,How to Get Away With Murder: Season 1,"September 25, 2014",68
1381,Philip K. Dick's Electric Dreams: Season 1,"September 17, 2017",68
1382,I Know This Much Is True: Season 1,"May 10, 2020",68
1383,American Auto: Season 1,"December 13, 2021",68
1384,The Kominsky Method: Season 1,"November 16, 2018",68
1385,Flight of the Conchords: Season 1,"June 17, 2007",68
1386,Bent (2012): Season 1,"March 21, 2012",68
1387,A Very Murray Christmas,"December 4, 2015",68
1388,Odd Mom Out: Season 1,"June 9, 2015",68
1389,Alpha House: Season 1,"April 19, 2013",68
1390,Euphoria: Season 1,"June 16, 2019",68
1391,The State Within: Season 1,"January 29, 2007",68
1392,Work of Art: The Next Great Artist: Season 1,"June 9, 2010",68
1393,The Young Pope: Season 1,"January 15, 2017",68
1394,The Spy: Season 1,"September 6, 2019",68
1395,Pan Am: Season 1,"September 25, 2011",68
1396,Rome: Season 2,"January 14, 2007",68
1397,Fosse/Verdon: Season 1,"April 9, 2019",68
1398,Murder in the First: Season 1,"June 9, 2014",68
1399,King of the Hill: Season 1,"January 12, 1997",68
1400,Marvel's Cloak & Dagger: Season 1,"June 7, 2018",68
1401,Luther: Season 4,"December 17, 2015",68
1402,Reno 911!: Season 1,"July 23, 2003",68
1403,Warrior (2019): Season 1,"April 5, 2019",68
1404,DC's Stargirl: Season 1,"May 18, 2020",68
1405,Marvel's Daredevil: Season 2,"March 18, 2016",68
1406,Extant: Season 1,"July 9, 2014",68
1407,Family Ties: Season 1,"September 22, 1982",68
1408,Vegas: Season 1,"September 25, 2012",68
1409,Marvel's Runaways: Season 1,"November 21, 2017",68
1410,Moby Dick,"August 1, 2011",68
1411,Scott Turow's Innocent,"November 29, 2011",68
1412,The Riches: Season 2,"March 18, 2008",68
1413,Lost Girl: Season 1,"September 12, 2011",68
1414,The Handmaid's Tale: Season 3,"June 5, 2019",68
1415,Sons & Daughters: Season 1,"March 7, 2006",68
1416,Riverdale: Season 1,"January 26, 2017",68
1417,Nikita: Season 1,"September 9, 2010",67
1418,Special: Season 1,"April 12, 2019",67
1419,Nightingale: Season 1,"May 29, 2015",67
1420,That's Life: Season 1,"October 1, 2000",67
1421,Upload: Season 1,"May 1, 2020",67
1422,Fringe: Season 1,"September 9, 2008",67
1423,Virtuality,"June 26, 2009",67
1424,9-1-1: Lone Star: Season 1,"January 19, 2020",67
1425,Babylon: Season 1,"November 13, 2014",67
1426,Star Wars: The Bad Batch: Season 1,"May 4, 2021",67
1427,Loaded: Season 1,"May 8, 2017",67
1428,United States of Tara: Season 1,"January 18, 2009",67
1429,Vice: Season 1,"April 5, 2013",67
1430,Rutherford Falls: Season 1,"April 22, 2021",67
1431,The Returned (2015): Season 1,"March 9, 2015",67
1432,Pillars of the Earth: Season 1,"July 23, 2010",67
1433,The Hotwives of Orlando: Season 1,"July 15, 2014",67
1434,Beavis and Butt-head: Season 8,"July 18, 1997",67
1435,The Righteous Gemstones: Season 1,"August 18, 2019",67
1436,Wilfred: Season 1,"June 23, 2011",67
1437,Pivoting: Season 1,"January 9, 2022",67
1438,Great News: Season 1,"April 25, 2017",67
1439,The Flash: Season 1,"September 20, 1990",67
1440,I Am Cait: Season 1,"July 26, 2015",67
1441,The Late Late Show with James Corden: Season 1,"March 24, 2015",67
1442,Being Mary Jane (2014): Season 1,"January 7, 2014",67
1443,About A Boy: Season 1,"February 22, 2014",67
1444,Mary and Martha,"April 20, 2013",67
1445,Trust: Season 1,"March 25, 2018",67
1446,The Big C: Season 1,"August 16, 2010",67
1447,Bates Motel: Season 2,"March 3, 2014",67
1448,Finding Alice: Season 1,"September 13, 2021",67
1449,The Rosie Show : Season 1,"October 10, 2011",67
1450,30 Rock: Season 1,"October 11, 2006",67
1451,A Discovery of Witches: Season 1,"September 14, 2018",67
1452,Top Design: Season 1,"January 31, 2007",67
1453,Victoria (2016): Season 1,"January 15, 2017",67
1454,Alex Rider: Season 1,"November 13, 2020",67
1455,Arrested Development: Season 5,"May 29, 2018",67
1456,Comrade Detective: Season 1,"August 4, 2017",67
1457,The Sunset Limited,"February 12, 2011",67
1458,Weeds: Season 4,"June 16, 2008",67
1459,Too Big To Fail,"May 23, 2011",67
1460,I Am Not Okay With This: Season 1,"February 26, 2020",67
1461,Helix: Season 1,"January 10, 2014",67
1462,Mankind: The Story of All of Us: Season 1,"November 13, 2012",67
1463,The Bridge (2013): Season 2,"July 9, 2014",67
1464,Desperate Housewives: Season 3,"September 24, 2006",67
1465,Method to the Madness of Jerry Lewis,"December 17, 2011",67
1466,The IT Crowd (UK): Season 1,"February 3, 2006",67
1467,24: Season 8,"January 17, 2010",67
1468,Casanova: Season 1,"March 13, 2005",67
1469,The Company: Season 1,"August 5, 2007",67
1470,Ben & Kate: Season 1,"September 25, 2012",67
1471,The X-Files: Season 11,"January 3, 2018",67
1472,Longmire: Season 1,"June 3, 2012",67
1473,The O.C.: Season 1,"August 5, 2003",67
1474,Single Parents: Season 1,"September 26, 2018",67
1475,State of Mind: Season 1,"July 15, 2007",67
1476,Dead to Me: Season 1,"May 3, 2019",67
1477,Unsolved: The Murders of Tupac and The Notorious B.I.G.: Season 1,"February 27, 2018",67
1478,Wet Hot American Summer: Ten Years Later: Season 1,"August 4, 2017",67
1479,Taboo: Season 1,"January 7, 2017",67
1480,The OA: Season 2,"March 22, 2019",67
1481,Trial & Error: Season 1,"March 14, 2017",67
1482,Copper : Season 1,"August 19, 2012",67
1483,A Teacher: Season 1,"November 10, 2020",67
1484,Making a Murderer: Season 2,"October 19, 2018",67
1485,Two and a Half Men: Season 1,"September 22, 2003",67
1486,When We Rise: Season 1,"February 27, 2017",67
1487,The Event : Season 1,"September 20, 2010",67
1488,The Tonight Show with Conan O'Brien: Season 1,"June 1, 2009",67
1489,Orange is the New Black: Season 5,"June 9, 2017",67
1490,7 Days in Hell,"July 11, 2015",67
1491,Summer Heights High: Season 1,"September 5, 2007",67
1492,Heroes: Season 1,"September 25, 2006",67
1493,The Umbrella Academy: Season 2,"July 31, 2020",67
1494,The Wizard of Lies,"May 21, 2017",67
1495,Better Off Ted: Season 1,"March 18, 2009",66
1496,The Marshal: Season 1,"January 31, 1995",66
1497,Modern Love: Season 1,"October 18, 2019",66
1498,Cold Case: Season 1,"September 28, 2003",66
1499,Zoey's Extraordinary Playlist: Season 1,"January 7, 2020",66
1500,Man Seeking Woman: Season 1,"January 14, 2015",66
1501,V: Season 1,"November 3, 2009",66
1502,Inside Amy Schumer: Season 1,"April 30, 2013",66
1503,Santa Clarita Diet: Season 1,"February 3, 2017",66
1504,Dispatches from Elsewhere: Season 1,"March 1, 2020",66
1505,The Girl: Season 1,"October 20, 2012",66
1506,The Case Against Adnan Syed: Season 1,"March 10, 2019",66
1507,Hairspray Live!,"December 7, 2016",66
1508,Kitchen Nightmares: Season 1,"September 19, 2007",66
1509,Hawaii Five-0: Season 1,"September 20, 2010",66
1510,Madam Secretary: Season 1,"September 21, 2014",66
1511,Easy Money: Season 1,"October 5, 2008",66
1512,Ozark: Season 1,"July 21, 2017",66
1513,The Borgias: Season 1,"April 3, 2011",66
1514,Go On: Season 1,"August 8, 2012",66
1515,Fyre Fraud,"January 14, 2019",66
1516,Dickinson: Season 1,"November 1, 2019",66
1517,Citizen U.S.A.: A 50 State Road Trip,"July 4, 2011",66
1518,Just Shoot Me: Season 1,"March 4, 1997",66
1519,Dietland: Season 1,"June 4, 2018",66
1520,Party Down: Season 1,"March 20, 2009",66
1521,Vanity Fair (2018),"December 21, 2018",66
1522,Tom Clancy's Jack Ryan: Season 1,"August 31, 2018",66
1523,Star Trek: Voyager: Season 1,"January 16, 1995",66
1524,Housebroken: Season 1,"May 31, 2021",66
1525,Awkwafina Is Nora From Queens: Season 1,"January 22, 2020",66
1526,A to Z: Season 1,"October 2, 2014",66
1527,Genius (2017): Season 3,"March 21, 2021",66
1528,Recount,"May 25, 2008",66
1529,The Society: Season 1,"May 10, 2019",66
1530,Da Ali G Show (US): Season 2,"February 22, 2003",66
1531,2 Broke Girls: Season 1,"September 19, 2011",66
1532,Teachers (2016): Season 1,"January 13, 2016",66
1533,Young Rock: Season 1,"February 16, 2021",66
1534,Shots Fired: Season 1,"March 22, 2017",66
1535,Shameless (US): Season 1,"January 9, 2011",66
1536,Revenge: Season 1,"September 21, 2011",66
1537,Castle Rock (2018): Season 1,"July 25, 2018",66
1538,The Red Road: Season 1,"February 27, 2014",66
1539,Fear the Walking Dead: Season 1,"August 23, 2015",66
1540,Bates Motel: Season 1,"March 18, 2013",66
1541,Canterbury's Law: Season 1,"March 10, 2008",66
1542,New Girl: Season 1,"September 20, 2011",66
1543,Briarpatch: Season 1,"February 6, 2020",66
1544,Black Mirror: Season 5,"June 5, 2019",66
1545,Hawkeye (2021): Season 1,"November 24, 2021",66
1546,Zach Stone Is Gonna Be Famous: Season 1,"May 2, 2013",66
1547,Once Upon a Time: Season 1,"October 23, 2011",66
1548,Hung: Season 1,"June 28, 2009",66
1549,The Newsroom: Season 2,"July 14, 2013",66
1550,Twisted: Season 1,"March 19, 2013",66
1551,Person of Interest: Season 1,"September 22, 2011",66
1552,The Swamp,"August 4, 2020",66
1553,The Mysterious Benedict Society: Season 1,"June 25, 2021",66
1554,Atypical: Season 1,"August 11, 2017",66
1555,American Horror Story: Season 7,"September 5, 2017",66
1556,The Politician: Season 1,"September 27, 2019",66
1557,Good Omens: Season 1,"May 31, 2019",66
1558,Mary Kills People: Season 1,"January 25, 2017",66
1559,Dirty Sexy Money: Season 1,"September 26, 2007",66
1560,Twenty Twelve: Season 1,"March 14, 2011",66
1561,Skins: Season 1,"January 25, 2007",66
1562,Black Narcissus,"November 23, 2020",66
1563,Wayward Pines: Season 1,"May 14, 2015",66
1564,Mistresses (UK): Season 1,"January 8, 2008",66
1565,Chocolate News: Season 1,"October 15, 2008",66
1566,Death Comes to Pemberley: Season 1,"December 26, 2013",66
1567,Cobra Kai: Season 2,"April 24, 2019",66
1568,Class: Season 1,"April 15, 2017",66
1569,The Strain: Season 2,"July 12, 2015",66
1570,Nurse Jackie: Season 5,"April 14, 2013",66
1571,The Eddy: Season 1,"May 8, 2020",66
1572,10 Things I Hate About You: Season 1,"July 7, 2009",66
1573,Condor: Season 1,"June 6, 2018",66
1574,Platinum: Season 1,"April 14, 2003",66
1575,Star Trek: Enterprise: Season 1,"September 26, 2001",66
1576,Sons of Liberty: Season 1,"January 25, 2015",65
1577,Friends: The Reunion,"May 27, 2021",65
1578,The Red Line: Season 1,"April 28, 2019",65
1579,Kung Fu (2021): Season 1,"April 7, 2021",65
1580,The Expanse: Season 1,"December 14, 2015",65
1581,Carnivale: Season 1,"September 14, 2003",65
1582,Tyrant: Season 2,"June 16, 2015",65
1583,Animal Kingdom: Season 1,"June 14, 2016",65
1584,Making the Cut: Season 1,"March 27, 2020",65
1585,Marvel's Jessica Jones: Season 3,"June 14, 2019",65
1586,"Sabrina, the Teenage Witch: Season 1","September 27, 1996",65
1587,Mom: Season 1,"September 23, 2013",65
1588,Criminal: UK: Season 1,"September 20, 2019",65
1589,The Defenders: Season 1,"September 22, 2010",65
1590,The Investigation: Season 1,"February 1, 2021",65
1591,The Unicorn: Season 1,"September 26, 2019",65
1592,Muhammad Ali's Greatest Fight,"October 5, 2013",65
1593,Enlisted: Season 1,"January 10, 2014",65
1594,The Marvelous Mrs. Maisel: Season 4,"February 18, 2022",65
1595,"Upstairs, Downstairs: Season 2","February 19, 2012",65
1596,The River: Season 1,"February 7, 2012",65
1597,Blindspot: Season 1,"September 21, 2015",65
1598,The Last O.G.: Season 1,"April 3, 2018",65
1599,Ballers (2015): Season 1,"June 21, 2015",65
